word_id,stop_conversation_word,word_type,priority,enabled,description
1,关闭对话,exact,1,TRUE,停止对话词-关闭对话
2,退出对话,exact,1,TRUE,停止对话词-退出对话
3,结束对话,exact,1,TRUE,停止对话词-结束对话
4,关闭会话,exact,1,TRUE,停止对话词-关闭会话
5,退出会话,exact,1,TRUE,停止对话词-退出会话
6,结束会话,exact,1,TRUE,停止对话词-结束会话
7,关闭绘画,exact,1,TRUE,停止对话词-关闭绘画
8,退出绘画,exact,1,TRUE,停止对话词-退出绘画
9,结束绘画,exact,1,TRUE,停止对话词-结束绘画
10,关闭兑换,exact,1,TRUE,停止对话词-关闭兑换
11,退出兑换,exact,1,TRUE,停止对话词-退出兑换
12,结束兑换,exact,1,TRUE,停止对话词-结束兑换
13,关闭回换,exact,1,TRUE,停止对话词-关闭回换
14,关闭回画,exact,1,TRUE,停止对话词-关闭回画
15,关闭绘换,exact,1,TRUE,停止对话词-关闭绘换
16,关闭会画,exact,1,TRUE,停止对话词-关闭会画
17,关闭汇话,exact,1,TRUE,停止对话词-关闭汇话
18,关闭汇换,exact,1,TRUE,停止对话词-关闭汇换
19,关闭规换,exact,1,TRUE,停止对话词-关闭规换
20,关闭规画,exact,1,TRUE,停止对话词-关闭规画
21,关闭归换,exact,1,TRUE,停止对话词-关闭归换
22,关闭归画,exact,1,TRUE,停止对话词-关闭归画
23,退出回换,exact,1,TRUE,停止对话词-退出回换
24,退出回画,exact,1,TRUE,停止对话词-退出回画
25,退出绘换,exact,1,TRUE,停止对话词-退出绘换
26,退出会画,exact,1,TRUE,停止对话词-退出会画
27,退出汇话,exact,1,TRUE,停止对话词-退出汇话
28,退出汇换,exact,1,TRUE,停止对话词-退出汇换
29,退出规换,exact,1,TRUE,停止对话词-退出规换
30,退出规画,exact,1,TRUE,停止对话词-退出规画
31,退出归换,exact,1,TRUE,停止对话词-退出归换
32,退出归画,exact,1,TRUE,停止对话词-退出归画
33,结束回换,exact,1,TRUE,停止对话词-结束回换
34,结束回画,exact,1,TRUE,停止对话词-结束回画
35,结束绘换,exact,1,TRUE,停止对话词-结束绘换
36,结束会画,exact,1,TRUE,停止对话词-结束会画
37,结束汇话,exact,1,TRUE,停止对话词-结束汇话
38,结束汇换,exact,1,TRUE,停止对话词-结束汇换
39,结束规换,exact,1,TRUE,停止对话词-结束规换
40,结束规画,exact,1,TRUE,停止对话词-结束规画
41,结束归换,exact,1,TRUE,停止对话词-结束归换
42,结束归画,exact,1,TRUE,停止对话词-结束归画
